Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,Learner 6,Learner 7,Learner 8,Learner 9,Learner 10,counter
0.7647527273561926,0.7509600971938888,0.7769687537708571,0.7730317752433553,0.771976678092153,0.7773204358924978,0.7900384642606191,0.778171885408973,0.7613514035003277,0.7696662587011407,0
0.1324593946937384,0.1324365266364245,0.1315804907977325,0.1293522066505249,0.1268814530004027,0.1323500383662498,0.1349612991889824,0.1308179692775919,0.1291726502673431,0.1321922284764547,0
0.0876354179636202,0.0993947984180081,0.0882217787424249,0.0869534421987106,0.0822719634856043,0.0823283055062123,0.0855572180973461,0.083448125086961,0.0891040571816123,0.0844994248956444,0
0.0635648056716113,0.0812403377636125,0.0707357311354392,0.0780854628588709,0.0700898174059107,0.0599541417747725,0.0643965670079842,0.0791018539307859,0.0651402398278507,0.0658152076707949,0
0.0604875232317338,0.0613757508552351,0.0591453257612251,0.0616775303025902,0.0589262111183112,0.0605685790428323,0.0659577110833094,0.0634565528957188,0.0596865516482817,0.0646862440447121,0
0.0473927838577585,0.0593181949989226,0.0494895747465721,0.0579822709213109,0.0462692635371165,0.0324318686911593,0.0447116456421391,0.0609083388537908,0.0462186743469316,0.0456708581460682,0
0.0397315888808053,0.0415795142529464,0.041613224317347,0.0434791774626085,0.043594580134407,0.0411406185518149,0.0447745911050525,0.0443395948979966,0.0429997006039511,0.0436718297203809,0
0.0323831239908718,0.0347937597387825,0.0422483524601591,0.0386402024519231,0.0319268001673892,0.0319356677225198,0.0457691676802853,0.0455671528559225,0.0336327363979302,0.0351747263363637,0
0.0219521918208298,0.0308696437452279,0.0302828659310228,0.0463550379954674,0.0272862124233579,0.0272996467378237,0.0472916903716977,0.0379290862627579,0.0301460071426821,0.0300388771352802,0
0.0243288477653883,0.026217751107014,0.0254262258634159,0.0361805114090819,0.0234741236660598,0.0273910415120696,0.0310555906345912,0.0222227560450434,0.0164132686999855,0.0289808443078055,0
0.0104013211171373,0.0124195055487195,0.0111948462987044,0.0109916595486072,0.0108102385197407,0.0097231133369516,0.0113859439775107,0.0109929018823923,0.0114294096807582,0.0099299745613111,0
0.0081400489103512,0.0087310475375731,0.0097374135178666,0.0090886258741574,0.0089553484002399,0.0089442363511673,0.008492771545895,0.0098876568229941,0.0084038316196587,0.0084301176812738,0
0.0051472545041448,0.007689112174623,0.0099264931648458,0.0084273900722325,0.0057692269746636,0.0115787677602981,0.0096341940242419,0.0081045397164533,0.0075307255571202,0.012949881219787,0
0.0075184889723643,0.0069988519742097,0.0071012786339947,0.0067100600240089,0.0098945630481531,0.0103608438568574,0.0075608948573054,0.0071137534939985,0.0088268580815681,0.0075747297142687,0
0.0103264791527091,0.0073322072546673,0.0077896980625104,0.0055944313605594,0.0036495477613611,0.000715011742784,0.0016431376568463,0.0056230958185776,0.002241207092786,0.00973608318401,0
-0.0001829616605263,-0.0001394918131457,-0.0002959432910566,-0.0001783209254311,-6.878570321917632e-05,-1.7068908360196035e-05,-7.244621944229035e-05,0.0004711519846747,0.0002386623171289,-0.0001779507365522,10
