feature,mean_importance
feature_17_ratio_feature_4,-0.013987044512977586
feature_7,-0.013014773194569562
feature_4_ratio_feature_17,-0.012232898935844495
feature_8_multiply_feature_4,-0.010097191987047593
feature_10,-0.00826231209319923
feature_11,-0.003818225508049955
feature_13_ratio_feature_4,-0.003142105489034619
feature_15_ratio_feature_4,-0.002104765259199093
feature_5,-0.002011733631047652
feature_9,-0.0015346295416764021
feature_8,-0.001226887558996581
feature_14_multiply_feature_4,-0.0011156470780621318
feature_14,-0.0007523221921180934
feature_4_ratio_feature_13,-0.00018121093255261123
random_feature,9.001509578010492e-06
feature_6,0.00021015402189599185
feature_13,0.0007815949854670379
feature_17,0.0020721458664691326
feature_12,0.0029590127990883675
feature_15,0.005492102946536304
feature_4_diff_feature_9,0.006449443572877333
feature_4,0.007719572085316595
feature_2,0.009335058095167303
feature_14_ratio_feature_4,0.01591410989330393
feature_1,0.016840811393953235
feature_16,0.021916071501818936
feature_4_ratio_feature_15,0.02448428421796245
feature_3,0.02889031439294214
feature_18,0.034404759690571926
