feature,mean_importance
feature_17_ratio_feature_4,-0.018049132611785156
feature_10,-0.012518417793278513
feature_7,-0.012515350117204348
feature_8_multiply_feature_4,-0.012421752573981638
feature_11,-0.00879289969347985
feature_14_ratio_feature_4,-0.0066092280298630565
feature_14_multiply_feature_4,-0.004200003055642276
feature_4_ratio_feature_17,-0.003916174229111924
feature_8,-0.00350718202613034
feature_9,-0.002741012417730415
feature_5,-0.0024776260521925052
feature_4_diff_feature_9,-0.00232026114723185
feature_14,-0.0009284616529276812
random_feature,0.00020540132994228966
feature_13_ratio_feature_4,0.00033967941590840045
feature_6,0.0003989580238119572
feature_17,0.0005779630323876628
feature_13,0.0007759653836335589
feature_12,0.0021287810509634576
feature_15,0.0051159237386863236
feature_2,0.005791692057457043
feature_4_ratio_feature_13,0.007421118988158626
feature_15_ratio_feature_4,0.012001302446005679
feature_1,0.01323807668515653
feature_4,0.01420577417487654
feature_4_ratio_feature_15,0.014417119721195082
feature_16,0.020268630887404625
feature_3,0.022832186510027497
feature_18,0.04302643302027424
