feature,mean_importance
feature_17_ratio_feature_4,-0.021608270378294513
feature_7,-0.015537213974994746
feature_15_ratio_feature_4,-0.015027688112213555
feature_4_ratio_feature_17,-0.01454440905816672
feature_8_multiply_feature_4,-0.014425862104964438
feature_10,-0.010613260755729903
feature_13_ratio_feature_4,-0.009971598447775065
feature_4_ratio_feature_15,-0.008959276048689268
feature_8,-0.006899261283477842
feature_11,-0.006366594867070763
feature_4_ratio_feature_13,-0.0049185608047668024
feature_9,-0.004076059358557682
feature_5,-0.0005816922946916714
feature_14,-0.0003416245608186985
random_feature,5.139012409594024e-05
feature_17,0.0006880648857109373
feature_6,0.0008485321394101853
feature_13,0.0012028229101846756
feature_4_diff_feature_9,0.0013913674942441557
feature_14_multiply_feature_4,0.0018571797222198816
feature_12,0.002557301112647181
feature_2,0.004911770159999773
feature_15,0.007078186283078014
feature_1,0.01774793608462453
feature_16,0.023207804344347792
feature_14_ratio_feature_4,0.02694547627635957
feature_3,0.02772715344143124
feature_18,0.03178398099073336
feature_4,0.0648722830324217
