feature,mean_importance
feature_17_ratio_feature_4,-0.017924055503051494
feature_7,-0.013662955595926406
feature_8_multiply_feature_4,-0.013227524348101549
feature_13_ratio_feature_4,-0.011652233893177488
feature_10,-0.01047071061701843
feature_15_ratio_feature_4,-0.009315115570985943
feature_4_ratio_feature_17,-0.008462763251729255
feature_11,-0.008380680040219746
feature_4_ratio_feature_13,-0.0041104167072749
feature_8,-0.0036929156290520073
feature_9,-0.0035588040054782997
feature_14_multiply_feature_4,-0.003276042071130236
feature_5,-0.001813824067397185
feature_4_diff_feature_9,-0.0009671919867928702
feature_13,-0.0009159179845591225
feature_14,-0.0006173085583225157
random_feature,-0.00018549394391360608
feature_6,0.0005893508933269454
feature_17,0.0015096308256664192
feature_12,0.002329009531340054
feature_15,0.005104140931512058
feature_2,0.005369747488399646
feature_4,0.007761760152595087
feature_1,0.015048667711158713
feature_4_ratio_feature_15,0.01869593734918771
feature_3,0.02609918330473073
feature_16,0.026181971922129656
feature_14_ratio_feature_4,0.04109751671421753
feature_18,0.043369149684577925
